Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Year
SW Billings (KKR),2022-2022,8,8,1,169,36,24.14,138,122.46,-,-,-,9,10,2022
D Brevis (MI),2022-2022,7,7,-,161,49,23.00,113,142.47,-,-,-,14,11,2022
Lalit Yadav (DC),2022-2022,12,8,1,161,48*,23.00,146,110.27,-,-,-,11,7,2022
A Badoni (LSG),2022-2022,13,11,3,161,54,20.12,130,123.84,-,1,1,11,7,2022
MS Wade (GT),2022-2022,10,10,-,157,35,15.70,138,113.76,-,-,-,23,2,2022
MP Stoinis (LSG),2022-2022,11,10,2,156,38*,19.50,106,147.16,-,-,1,7,13,2022
B Sai Sudharsan (GT),2022-2022,5,5,1,145,65*,36.25,114,127.19,-,1,-,14,3,2022
KA Pollard (MI),2022-2022,11,11,1,144,25,14.40,134,107.46,-,-,1,6,9,2022
AM Rahane (KKR),2022-2022,7,7,-,133,44,19.00,128,103.90,-,-,-,14,4,2022
Anuj Rawat (RCB),2022-2022,8,8,-,129,66,16.12,118,109.32,-,1,3,10,7,2022
SN Thakur (DC),2022-2022,14,10,2,120,29*,15.00,87,137.93,-,-,-,7,7,2022
M Shahrukh Khan (PBKS),2022-2022,8,8,1,117,26,16.71,108,108.33,-,-,1,4,9,2022
RA Jadeja (CSK),2022-2022,10,10,4,116,26*,19.33,98,118.36,-,-,2,6,5,2022
A Manohar (GT),2022-2022,8,7,1,108,43,18.00,75,144.00,-,-,1,14,3,2022
Washington Sundar (SRH),2022-2022,9,7,-,101,40,14.42,69,146.37,-,-,-,9,3,2022
SN Khan (DC),2022-2022,6,5,2,91,36*,30.33,67,135.82,-,-,-,9,2,2022
Rashid Khan (GT),2022-2022,16,8,4,91,40,22.75,44,206.81,-,-,3,3,9,2022
MK Pandey (LSG),2022-2022,6,6,-,88,38,14.66,80,110.00,-,-,-,9,2,2022
AJ Finch (KKR),2022-2022,5,5,-,86,58,17.20,61,140.98,-,1,-,10,3,2022
MK Lomror (RCB),2022-2022,7,5,-,86,42,17.20,57,150.87,-,-,-,7,4,2022
RD Chahar (PBKS),2022-2022,13,8,2,77,25*,12.83,68,113.23,-,-,2,7,4,2022
E Lewis (LSG),2022-2022,6,5,2,73,55*,24.33,56,130.35,-,1,-,8,3,2022
SP Narine (KKR),2022-2022,14,10,2,71,22,8.87,40,177.50,-,-,3,6,6,2022
Shashank Singh (SRH),2022-2022,10,5,1,69,25*,17.25,47,146.80,-,-,-,5,4,2022
SS Prabhudessai (RCB),2022-2022,5,5,-,67,34,13.40,59,113.55,-,-,-,7,2,2022
PJ Cummins (KKR),2022-2022,5,5,1,63,56*,15.75,24,262.50,-,1,2,5,6,2022
JD Unadkat (MI),2022-2022,5,5,2,59,19*,19.66,37,159.45,-,-,-,4,3,2022
R Shepherd (SRH),2022-2022,3,3,1,58,26*,29.00,41,141.46,-,-,-,2,5,2022
JO Holder (LSG),2022-2022,12,8,2,58,16,9.66,44,131.81,-,-,-,2,6,2022
UT Yadav (KKR),2022-2022,12,7,3,55,21,13.75,40,137.50,-,-,2,4,4,2022
OF Smith (PBKS),2022-2022,6,6,3,51,25*,17.00,44,115.90,-,-,1,1,5,2022
Kuldeep Yadav (DC),2022-2022,14,7,6,48,16*,48.00,52,92.30,-,-,-,3,2,2022
K Rabada (PBKS),2022-2022,13,8,3,48,25,9.60,43,111.62,-,-,-,5,2,2022
PK Garg (SRH),2022-2022,2,2,-,46,42,23.00,33,139.39,-,-,-,4,2,2022
Ramandeep Singh (MI),2022-2022,5,4,2,45,14*,22.50,40,112.50,-,-,-,3,1,2022
D Pretorius (CSK),2022-2022,6,5,1,44,22,11.00,28,157.14,-,-,1,3,3,2022
HR Shokeen (MI),2022-2022,5,3,1,43,25,21.50,48,89.58,-,-,-,5,0,2022
HV Patel (RCB),2022-2022,15,8,3,43,11,8.60,39,110.25,-,-,1,4,2,2022
PVD Chameera (LSG),2022-2022,12,8,4,43,17,10.75,28,153.57,-,-,2,3,3,2022
N Jagadeesan (CSK),2022-2022,2,2,1,40,39*,40.00,37,108.10,-,-,-,3,1,2022
TA Boult (RR),2022-2022,16,8,6,40,17*,20.00,29,137.93,-,-,-,2,1,2022
PW Hasaranga (RCB),2022-2022,16,7,-,38,18,5.42,43,88.37,-,-,2,4,1,2022
DR Sams (MI),2022-2022,11,10,3,38,15,5.42,36,105.55,-,-,2,1,3,2022
R Dhawan (PBKS),2022-2022,6,4,2,37,21*,18.50,40,92.50,-,-,-,4,2,2022
DJ Mitchell (RR),2022-2022,2,2,-,33,17,16.50,44,75.00,-,-,-,1,0,2022
SE Rutherford (RCB),2022-2022,3,2,-,33,28,16.50,50,66.00,-,-,-,1,1,2022
JDS Neesham (RR),2022-2022,2,2,-,31,17,15.50,27,114.81,-,-,-,3,0,2022
Mohammed Siraj (RCB),2022-2022,15,5,3,30,14*,15.00,33,90.90,-,-,-,5,0,2022
TL Seifert (DC),2022-2022,2,2,-,24,21,12.00,19,126.31,-,-,-,4,0,2022
B Kumar (SRH),2022-2022,14,6,3,24,8,8.00,26,92.30,-,-,-,3,0,2022
Mohsin Khan (LSG),2022-2022,9,3,2,23,13*,23.00,16,143.75,-,-,-,2,1,2022
SP Jackson (KKR),2022-2022,5,5,1,23,8,5.75,26,88.46,-,-,1,0,1,2022
DJ Bravo (CSK),2022-2022,10,6,4,23,12,11.50,24,95.83,-,-,1,1,1,2022
HE van der Dussen (RR),2022-2022,3,3,1,22,12*,11.00,24,91.66,-,-,-,2,0,2022
Harpreet Brar (PBKS),2022-2022,5,3,-,22,14,7.33,25,88.00,-,-,-,1,2,2022
MJ Santner (CSK),2022-2022,6,4,2,22,11,11.00,27,81.48,-,-,-,3,0,2022
Avesh Khan (LSG),2022-2022,13,4,3,22,12,22.00,13,169.23,-,-,-,0,3,2022
B Indrajith (KKR),2022-2022,3,3,-,21,15,7.00,30,70.00,-,-,1,2,0,2022
Arshdeep Singh (PBKS),2022-2022,14,6,3,21,10*,7.00,29,72.41,-,-,2,3,0,2022
M Vohra (LSG),2022-2022,2,1,-,19,19,19.00,11,172.72,-,-,-,1,2,2022
V Shankar (GT),2022-2022,4,4,-,19,13,4.75,35,54.28,-,-,1,1,0,2022
DJ Willey (RCB),2022-2022,4,2,-,18,18,9.00,30,60.00,-,-,1,3,0,2022
Mandeep Singh (DC),2022-2022,3,3,-,18,18,6.00,23,78.26,-,-,2,4,0,2022
JR Hazlewood (RCB),2022-2022,12,5,5,18,7*,0.00,26,69.23,-,-,-,1,0,2022
KK Nair (RR),2022-2022,3,2,-,16,13,8.00,18,88.88,-,-,-,1,0,2022
Prabhsimran Singh (PBKS),2022-2022,1,1,-,14,14,14.00,11,127.27,-,-,-,2,0,2022
Anmolpreet Singh (MI),2022-2022,2,2,-,13,8,6.50,13,100.00,-,-,-,1,0,2022
CV Varun (KKR),2022-2022,11,4,4,12,10*,0.00,18,66.66,-,-,-,2,0,2022
M Ashwin (MI),2022-2022,8,5,2,12,6,4.00,14,85.71,-,-,1,1,1,2022
CJ Jordan (CSK),2022-2022,4,2,1,11,6*,11.00,8,137.50,-,-,-,0,0,2022
RA Bawa (PBKS),2022-2022,2,2,-,11,11,5.50,14,78.57,-,-,1,1,0,2022
S Gopal (SRH),2022-2022,1,1,1,9,9*,0.00,7,128.57,-,-,-,2,0,2022
M Jansen (SRH),2022-2022,8,3,2,9,8*,9.00,7,128.57,-,-,-,0,1,2022
FA Allen (MI),2022-2022,1,1,-,8,8,8.00,7,114.28,-,-,-,1,0,2022
OC McCoy (RR),2022-2022,7,1,-,8,8,8.00,5,160.00,-,-,-,0,1,2022
KS Bharat (DC),2022-2022,2,2,-,8,8,4.00,7,114.28,-,-,1,2,0,2022
SA Abbott (SRH),2022-2022,1,1,-,7,7,7.00,5,140.00,-,-,-,0,1,2022
Rasikh Salam (KKR),2022-2022,2,1,-,7,7,7.00,6,116.66,-,-,-,1,0,2022
Kartik Tyagi (SRH),2022-2022,2,2,-,7,7,3.50,6,116.66,-,-,1,1,0,2022
M Theekshana (CSK),2022-2022,9,2,1,7,7*,7.00,7,100.00,-,-,1,0,1,2022
Simarjeet Singh (CSK),2022-2022,6,3,2,7,3*,7.00,8,87.50,-,-,-,0,0,2022
RV Patel (DC),2022-2022,2,1,-,6,6,6.00,3,200.00,-,-,-,0,1,2022
Mukesh Choudhary (CSK),2022-2022,13,2,1,6,4,6.00,6,100.00,-,-,-,1,0,2022
M Prasidh Krishna (RR),2022-2022,17,3,2,6,4*,6.00,12,50.00,-,-,-,0,0,2022
Aman Hakim Khan (KKR),2022-2022,1,1,-,5,5,5.00,3,166.66,-,-,-,1,0,2022
YS Chahal (RR),2022-2022,17,2,1,5,5,5.00,8,62.50,-,-,-,0,0,2022
LH Ferguson (GT),2022-2022,13,3,1,5,5,2.50,4,125.00,-,-,1,1,0,2022
AS Joseph (GT),2022-2022,9,3,2,5,4*,5.00,7,71.42,-,-,1,0,0,2022
VG Arora (PBKS),2022-2022,5,4,2,5,2*,2.50,13,38.46,-,-,1,0,0,2022
PN Mankad (PBKS),2022-2022,1,1,1,4,4*,0.00,1,400.00,-,-,-,1,0,2022
A Tomar (KKR),2022-2022,1,1,-,4,4,4.00,8,50.00,-,-,-,1,0,2022
KS Sharma (LSG),2022-2022,1,1,-,4,4,4.00,4,100.00,-,-,-,1,0,2022
Abdul Samad (SRH),2022-2022,2,2,-,4,4,2.00,7,57.14,-,-,1,0,0,2022
Umran Malik (SRH),2022-2022,14,4,3,4,3*,4.00,8,50.00,-,-,1,0,0,2022
Shubman Gill (GT),2023-2023,17,17,2,890,129,59.33,564,157.80,3,4,1,85,33,2023
F du Plessis (RCB),2023-2023,14,14,1,730,84,56.15,475,153.68,-,8,-,60,36,2023
DP Conway (CSK),2023-2023,16,15,2,672,92*,51.69,481,139.70,-,6,1,77,18,2023
V Kohli (RCB),2023-2023,14,14,2,639,101*,53.25,457,139.82,2,6,1,65,16,2023
YBK Jaiswal (RR),2023-2023,14,14,1,625,124,48.07,382,163.61,1,5,1,82,26,2023
SA Yadav (MI),2023-2023,16,16,2,605,103*,43.21,334,181.13,1,5,1,65,28,2023
RD Gaikwad (CSK),2023-2023,16,15,1,590,92,42.14,400,147.50,-,4,-,46,30,2023
DA Warner (DC),2023-2023,14,14,-,516,86,36.85,392,131.63,-,6,2,69,10,2023
RK Singh (KKR),2023-2023,14,14,6,474,67*,59.25,317,149.52,-,4,-,31,29,2023
Ishan Kishan (MI),2023-2023,16,15,-,454,75,30.26,318,142.76,-,3,-,54,18,2023
C Green (MI),2023-2023,16,16,7,452,100*,50.22,282,160.28,1,2,-,40,22,2023
H Klaasen (SRH),2023-2023,12,11,2,448,104,49.77,253,177.07,1,2,-,32,25,2023
S Dube (CSK),2023-2023,16,14,3,418,52,38.00,264,158.33,-,3,-,12,35,2023
N Rana (KKR),2023-2023,14,14,1,413,75,31.76,293,140.95,-,3,-,39,20,2023
MP Stoinis (LSG),2023-2023,15,15,2,408,89*,31.38,272,150.00,-,3,2,28,27,2023
VR Iyer (KKR),2023-2023,14,14,-,404,104,28.85,277,145.84,1,2,1,32,21,2023
GJ Maxwell (RCB),2023-2023,14,14,2,400,77,33.33,218,183.48,-,5,2,29,31,2023
JC Buttler (RR),2023-2023,14,14,-,392,95,28.00,282,139.00,-,4,5,42,14,2023
KR Mayers (LSG),2023-2023,13,13,-,379,73,29.15,263,144.10,-,4,2,38,22,2023
S Dhawan (PBKS),2023-2023,11,11,2,373,99*,41.44,261,142.91,-,3,1,49,12,2023
WP Saha (GT),2023-2023,17,17,1,371,81,23.18,287,129.26,-,2,2,47,8,2023
B Sai Sudharsan (GT),2023-2023,8,8,1,362,96,51.71,256,141.40,-,3,-,33,12,2023
SV Samson (RR),2023-2023,14,14,2,362,66*,30.16,236,153.38,-,3,2,25,24,2023
Prabhsimran Singh (PBKS),2023-2023,14,14,-,358,103,25.57,238,150.42,1,1,2,38,19,2023
N Pooran (LSG),2023-2023,15,15,3,358,62,29.83,207,172.94,-,2,2,26,26,2023
HH Pandya (GT),2023-2023,16,15,4,346,66,31.45,253,136.75,-,2,-,26,15,2023
NT Tilak Varma (MI),2023-2023,11,11,3,343,84*,42.87,209,164.11,-,1,-,26,23,2023
RG Sharma (MI),2023-2023,16,16,-,332,65,20.75,250,132.80,-,2,2,35,17,2023
AM Rahane (CSK),2023-2023,14,11,1,326,71*,32.60,189,172.48,-,2,-,24,16,2023
JM Sharma (PBKS),2023-2023,14,14,1,309,49*,23.76,198,156.06,-,-,1,22,21,2023
V Shankar (GT),2023-2023,14,10,2,301,63*,37.62,188,160.10,-,3,-,27,15,2023
SO Hetmyer (RR),2023-2023,14,13,5,299,56*,37.37,197,151.77,-,1,-,12,23,2023
JJ Roy (KKR),2023-2023,8,8,-,285,61,35.62,188,151.59,-,2,-,36,12,2023
AR Patel (DC),2023-2023,14,13,3,283,54,28.30,203,139.40,-,1,-,21,15,2023
LS Livingstone (PBKS),2023-2023,9,9,1,279,94,34.87,171,163.15,-,2,-,20,19,2023
SM Curran (PBKS),2023-2023,14,13,3,276,55,27.60,203,135.96,-,1,-,20,13,2023
KL Rahul (LSG),2023-2023,9,9,1,274,74,34.25,242,113.22,-,2,-,28,4,2023
RA Tripathi (SRH),2023-2023,13,13,1,273,74*,22.75,213,128.16,-,1,1,29,10,2023
MA Agarwal (SRH),2023-2023,10,10,-,270,83,27.00,210,128.57,-,1,-,29,6,2023
D Padikkal (RR),2023-2023,11,11,1,261,52,26.10,200,130.50,-,2,-,31,6,2023
DA Miller (GT),2023-2023,16,13,5,259,46,32.37,178,145.50,-,-,1,18,13,2023
AK Markram (SRH),2023-2023,13,13,2,248,50,22.54,197,125.88,-,1,1,18,8,2023
N Wadhera (MI),2023-2023,14,10,1,241,64,26.77,166,145.18,-,2,1,23,12,2023
A Badoni (LSG),2023-2023,15,12,2,238,59*,23.80,172,138.37,-,1,-,13,12,2023
TH David (MI),2023-2023,16,15,6,231,45*,25.66,146,158.21,-,-,2,12,15,2023
Rahmanullah Gurbaz (KKR),2023-2023,11,11,-,227,81,20.63,170,133.52,-,2,2,17,15,2023
AD Russell (KKR),2023-2023,14,14,3,227,42,20.63,156,145.51,-,-,1,13,18,2023
Abhishek Sharma (SRH),2023-2023,11,11,-,226,67,20.54,157,143.94,-,2,1,28,6,2023
PD Salt (DC),2023-2023,9,9,1,218,87,27.25,133,163.90,-,2,2,24,10,2023
RR Rossouw (DC),2023-2023,9,9,2,209,82*,29.85,141,148.22,-,1,2,17,11,2023
HC Brook (SRH),2023-2023,11,11,2,190,100*,21.11,154,123.37,1,-,3,23,4,2023
RA Jadeja (CSK),2023-2023,16,12,4,190,25*,23.75,133,142.85,-,-,-,11,9,2023
KH Pandya (LSG),2023-2023,15,14,4,188,49*,18.80,165,113.93,-,-,3,15,6,2023
A Taide (PBKS),2023-2023,7,7,-,186,66,26.57,129,144.18,-,2,1,20,6,2023
Abdul Samad (SRH),2023-2023,9,8,4,169,37*,42.25,128,132.03,-,-,-,10,11,2023
MK Pandey (DC),2023-2023,10,9,-,160,50,17.77,146,109.58,-,1,2,15,3,2023
AT Rayudu (CSK),2023-2023,16,12,2,158,27*,15.80,113,139.82,-,-,1,10,9,2023
M Shahrukh Khan (PBKS),2023-2023,14,13,6,156,41*,22.28,94,165.95,-,-,-,13,9,2023
DC Jurel (RR),2023-2023,13,11,4,152,34*,21.71,88,172.72,-,-,1,11,9,2023
Q de Kock (LSG),2023-2023,4,4,-,143,70,35.75,102,140.19,-,1,-,10,8,2023
KD Karthik (RCB),2023-2023,13,13,1,140,30,11.66,104,134.61,-,-,4,13,5,2023
Sikandar Raza (PBKS),2023-2023,7,7,2,139,57,27.80,98,141.83,-,1,-,10,6,2023
MK Lomror (RCB),2023-2023,12,10,2,135,54*,16.87,97,139.17,-,1,1,9,8,2023
Rashid Khan (GT),2023-2023,17,9,5,130,79*,32.50,60,216.66,-,1,2,8,13,2023
MR Marsh (DC),2023-2023,9,9,-,128,63,14.22,97,131.95,-,1,2,11,7,2023
MM Ali (CSK),2023-2023,15,10,3,124,23,17.71,91,136.26,-,-,-,12,6,2023
MW Short (PBKS),2023-2023,6,6,-,117,36,19.50,92,127.17,-,-,-,15,4,2023
A Manohar (GT),2023-2023,9,6,-,114,42,19.00,83,137.34,-,-,-,6,7,2023
SN Thakur (KKR),2023-2023,11,10,2,113,68,14.12,70,161.42,-,1,2,13,4,2023
Aman Hakim Khan (DC),2023-2023,11,9,1,110,51,13.75,101,108.91,-,1,1,7,6,2023
PP Shaw (DC),2023-2023,8,8,-,106,54,13.25,85,124.70,-,1,2,16,1,2023
Anmolpreet Singh (SRH),2023-2023,4,4,-,105,36,26.25,82,128.04,-,-,-,15,2,2023
MS Dhoni (CSK),2023-2023,16,12,8,104,32*,26.00,57,182.45,-,-,1,3,10,2023
PN Mankad (LSG),2023-2023,5,5,2,93,64*,31.00,72,129.16,-,1,1,12,2,2023
Anuj Rawat (RCB),2023-2023,9,7,4,91,29*,30.33,71,128.16,-,-,-,6,4,2023
N Jagadeesan (KKR),2023-2023,6,6,-,89,36,14.83,81,109.87,-,-,1,14,1,2023
R Tewatia (GT),2023-2023,17,10,6,87,20*,21.75,57,152.63,-,-,-,3,7,2023
DJ Hooda (LSG),2023-2023,12,12,1,84,17,7.63,90,93.33,-,-,-,3,2,2023
R Parag (RR),2023-2023,7,7,1,78,20,13.00,66,118.18,-,-,-,4,5,2023
Harpreet Singh (PBKS),2023-2023,3,3,-,76,41,25.33,59,128.81,-,-,-,8,3,2023
PBB Rajapaksa (PBKS),2023-2023,4,4,1,71,50,23.66,62,114.51,-,1,1,6,2,2023
Vivrant Sharma (SRH),2023-2023,3,1,-,69,69,69.00,47,146.80,-,1,-,9,2,2023
R Ashwin (RR),2023-2023,13,10,4,67,30,11.16,51,131.37,-,-,2,5,3,2023
Lalit Yadav (DC),2023-2023,6,6,1,66,38,13.20,59,111.86,-,-,-,8,0,2023
K Gowtham (LSG),2023-2023,7,7,3,61,23,15.25,37,164.86,-,-,-,2,5,2023
Washington Sundar (SRH),2023-2023,7,5,1,60,24*,15.00,60,100.00,-,-,-,6,0,2023
MG Bracewell (RCB),2023-2023,5,4,2,58,26,29.00,47,123.40,-,-,-,6,1,2023
SN Khan (DC),2023-2023,4,4,-,53,30,13.25,62,85.48,-,-,-,4,1,2023
Harpreet Brar (PBKS),2023-2023,13,8,2,52,17*,8.66,41,126.82,-,-,1,5,2,2023
RV Patel (DC),2023-2023,5,4,1,49,23,16.33,43,113.95,-,-,-,3,1,2023
B Kumar (SRH),2023-2023,14,6,3,42,27,14.00,47,89.36,-,-,-,4,0,2023
Shahbaz Ahmed (RCB),2023-2023,10,6,2,42,20*,10.50,39,107.69,-,-,-,3,1,2023
GD Phillips (SRH),2023-2023,5,5,-,39,25,7.80,22,177.27,-,-,1,2,4,2023
M Jansen (SRH),2023-2023,8,6,3,39,17*,13.00,43,90.69,-,-,-,4,0,2023
Vishnu Vinod (MI),2023-2023,3,3,-,37,30,12.33,31,119.35,-,-,-,2,2,2023
A Nortje (DC),2023-2023,10,7,4,37,23*,12.33,29,127.58,-,-,1,6,0,2023
DJ Willey (RCB),2023-2023,4,3,3,35,20*,0.00,32,109.37,-,-,-,4,0,2023
SS Prabhudessai (RCB),2023-2023,5,4,-,35,19,8.75,29,120.68,-,-,1,1,2,2023
Abishek Porel (DC),2023-2023,4,4,-,33,20,8.25,31,106.45,-,-,-,1,2,2023
PW Hasaranga (RCB),2023-2023,8,5,3,33,12*,16.50,28,117.85,-,-,-,3,0,2023
Kuldeep Yadav (DC),2023-2023,14,10,8,31,10*,15.50,48,64.58,-,-,2,2,0,2023
MD Shanaka (GT),2023-2023,3,3,1,26,17,13.00,26,100.00,-,-,1,2,1,2023
T Stubbs (MI),2023-2023,2,2,-,25,20,12.50,31,80.64,-,-,-,2,0,2023
PP Chawla (MI),2023-2023,16,4,2,25,18,12.50,22,113.63,-,-,1,1,1,2023
HR Shokeen (MI),2023-2023,8,3,2,23,18*,23.00,17,135.29,-,-,-,4,0,2023
AS Roy (KKR),2023-2023,4,4,2,23,13*,11.50,19,121.05,-,-,1,3,0,2023
AU Rashid (SRH),2023-2023,2,2,-,22,18,11.00,16,137.50,-,-,-,2,1,2023
PK Garg (DC),2023-2023,2,2,-,22,12,11.00,23,95.65,-,-,-,1,0,2023
D Wiese (KKR),2023-2023,3,3,2,21,12*,21.00,11,190.90,-,-,-,0,3,2023
M Markande (SRH),2023-2023,10,3,3,21,18*,0.00,13,161.53,-,-,-,2,1,2023
SP Narine (KKR),2023-2023,14,10,3,21,7*,3.00,25,84.00,-,-,3,2,1,2023
R Dhawan (PBKS),2023-2023,6,3,1,20,19,10.00,12,166.66,-,-,-,1,1,2023
Ravi Bishnoi (LSG),2023-2023,15,7,4,20,5,6.66,27,74.07,-,-,-,1,0,2023
A Mishra (LSG),2023-2023,7,1,-,19,19,19.00,30,63.33,-,-,-,2,0,2023
Umran Malik (SRH),2023-2023,8,2,1,19,19*,19.00,8,237.50,-,-,1,1,2,2023
UT Yadav (KKR),2023-2023,8,5,3,19,6*,9.50,18,105.55,-,-,-,1,0,2023
Arshad Khan (MI),2023-2023,6,3,1,18,15*,9.00,15,120.00,-,-,-,0,1,2023
Akash Deep (RCB),2023-2023,2,1,-,17,17,17.00,8,212.50,-,-,-,2,1,2023
AJ Hosein (SRH),2023-2023,1,1,1,16,16*,0.00,10,160.00,-,-,-,1,1,2023
P Dubey (DC),2023-2023,1,1,-,16,16,16.00,20,80.00,-,-,-,2,0,2023
Naveen-ul-Haq (LSG),2023-2023,8,3,2,16,13,16.00,21,76.19,-,-,-,2,0,2023
YV Dhull (DC),2023-2023,4,3,-,16,13,5.33,23,69.56,-,-,-,1,0,2023
TA Boult (RR),2023-2023,10,4,3,16,15,16.00,14,114.28,-,-,-,1,1,2023
BA Stokes (CSK),2023-2023,2,2,-,15,8,7.50,14,107.14,-,-,-,2,0,2023
Mandeep Singh (KKR),2023-2023,3,3,-,14,12,4.66,16,87.50,-,-,1,0,1,2023
AS Tendulkar (MI),2023-2023,4,1,-,13,13,13.00,9,144.44,-,-,-,0,1,2023
V Vyshak (RCB),2023-2023,7,2,1,13,13*,13.00,9,144.44,-,-,1,0,1,2023
KM Jadhav (RCB),2023-2023,2,1,1,12,12*,0.00,10,120.00,-,-,-,1,0,2023
KS Sharma (LSG),2023-2023,2,2,-,12,9,6.00,21,57.14,-,-,-,0,0,2023
JO Holder (RR),2023-2023,8,3,1,12,11,6.00,11,109.09,-,-,1,0,1,2023
MA Wood (LSG),2023-2023,4,2,1,11,10*,11.00,5,220.00,-,-,-,1,1,2023
Sanvir Singh (SRH),2023-2023,2,2,1,11,7,11.00,9,122.22,-,-,-,1,1,2023
JE Root (RR),2023-2023,3,1,-,10,10,10.00,15,66.66,-,-,-,1,0,2023
M Vohra (LSG),2023-2023,1,1,-,10,10,10.00,11,90.90,-,-,-,1,0,2023
A Zampa (RR),2023-2023,6,3,-,10,7,3.33,16,62.50,-,-,-,0,0,2023
JD Unadkat (LSG),2023-2023,3,1,-,9,9,9.00,7,128.57,-,-,-,1,0,2023
Noor Ahmad (GT),2023-2023,13,3,1,8,7*,4.00,9,88.88,-,-,1,1,0,2023
AS Joseph (GT),2023-2023,7,2,2,7,7*,0.00,12,58.33,-,-,-,1,0,2023
R Powell (DC),2023-2023,3,3,-,7,4,2.33,9,77.77,-,-,-,1,0,2023
Mukesh Kumar (DC),2023-2023,10,3,3,7,6*,0.00,9,77.77,-,-,-,0,0,2023
K Kartikeya (MI),2023-2023,8,1,-,6,6,6.00,7,85.71,-,-,-,1,0,2023
JP Behrendorff (MI),2023-2023,12,2,2,6,3*,0.00,9,66.66,-,-,-,0,0,2023
CJ Jordan (MI),2023-2023,6,2,-,6,4,3.00,12,50.00,-,-,-,0,0,2023
HV Patel (RCB),2023-2023,14,2,-,6,6,3.00,6,100.00,-,-,1,0,1,2023
Mohammed Shami (GT),2023-2023,17,2,-,5,5,2.50,6,83.33,-,-,1,1,0,2023
Litton Das (KKR),2023-2023,1,1,-,4,4,4.00,4,100.00,-,-,-,1,0,2023
JC Archer (MI),2023-2023,5,2,2,4,3*,0.00,4,100.00,-,-,-,0,0,2023
C Sakariya (DC),2023-2023,2,2,1,4,4,4.00,6,66.66,-,-,-,1,0,2023
KV Sharma (RCB),2023-2023,7,2,-,3,2,1.50,5,60.00,-,-,-,0,0,2023
VG Arora (KKR),2023-2023,5,2,2,3,2*,0.00,2,150.00,-,-,-,0,0,2023
